독산1동 공영주차장,1,3,DC차데모 + AC3상,충전가능,"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상",37.464893,126.89479,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
제일모직아울렛 건너편(공중전화부스),1,6,DC차데모 + AC3상 + DC콤보,충전가능,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
영등포구 대신시장(공중전화부스),1,6,DC차데모 + AC3상 + DC콤보,충전가능,서울특별시 영등포구 신길1동 116-15,37.5108,126.9171,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
현대차 남부서비스센터,1,3,DC차데모 + AC3상,충전가능,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장",37.514185,126.931894,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
동작주차공원 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전중,"서울특별시 동작구 현충로 213, 출입구 왼쪽",37.503803,126.976775,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
조원동 제1공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,서울특별시 관악구 신림동 571-6,37.481069,126.905703,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
사당역 공영주차장,1,3,DC차데모 + AC3상,충전가능,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)",37.475256,126.982638,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 양재점,1,3,DC차데모 + AC3상,충전가능,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역",37.463293,127.036812,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
수서역 공영주차장,1,3,DC차데모 + AC3상,충전가능,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)",37.487569,127.101016,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
학여울역 공영주차장,1,3,DC차데모 + AC3상,충전가능,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역",37.496722,127.070444,05:00~익일01:00,환경부,1661-9408,2.02E+13,급속(50kW)
개포동공원 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전중,"서울특별시 강남구 개포로 509, 지하주차장 1층 8구역",37.489757,127.068269,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
탄천제2호 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"서울특별시 강남구 일원동 4-49, 주차장 입구 오른쪽",37.493865,127.08723,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
롯데마트 잠실점,1,3,DC차데모 + AC3상,충전가능,"서울특별시 송파구 올림픽로 240, 지하주차장 1층 M148구역",37.511818,127.096321,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 명일점,1,3,DC차데모 + AC3상,충전가능,"서울특별시 강동구 고덕로 276, 지하주차장 1층 E구역",37.554606,127.155966,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 영도점,1,1,DC차데모,충전가능,"부산광역시 영도구 대교로14번길 57, 지상주차장 3층 410구역",35.095906,129.04424,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
온천장역 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 금정구   오시게로 20, 주차장 출구 오른쪽",35.21929,129.08605,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 문현점,1,3,DC차데모 + AC3상,충전가능,"부산광역시 남구 전포대로91번길 47, 지상주차장 4층 A구역",35.144356,129.064256,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
하단역 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 사하구 하신중앙로 313, 주차장 출구 오른쪽",35.106166,128.96576,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 금정점,1,1,DC차데모,충전가능,"부산광역시 금정구 중앙대로1841번길 24, 지상주차장 3층 73구역",35.24975906,129.0901501,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
남산역 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 금정구 중앙대로 2030, 주차장 입구 정면",35.265513,129.092746,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
부산환경공단 명지사업소,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 강서구 명지오션시티13로 12-11, 주차장 입구 왼쪽",35.090537,128.898577,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 아시아드점,1,3,DC차데모 + AC3상,충전가능,"부산광역시 연제구 종합운동장로 7, 지하주차장 1층 35구역",35.19104755,129.0625057,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 연제점,1,3,DC차데모 + AC3상,충전가능,"부산광역시 연제구 연수로 89, 지하주차장 1층 E구역",35.176147,129.081345,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
학장천 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 사상구 가야대로 309, 주차장 입구 정면",35.1485,129.000724,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
장안휴게소(울산방향),1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 기장군  장안읍  동해고속도로 26, 휴게소와 LPG충전소 사이",35.3820817,129.248685,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
장안휴게소(부산방향),1,6,DC차데모 + AC3상 + DC콤보,충전가능,"부산광역시 기장군 장안읍 명례리 835, 휴게소와 LPG충전소 사이",35.3783548,129.2461223,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
기장군청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,부산광역시 기장군 기장읍 기장대로 560,35.2438178,129.222363,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
성명맨션 앞(공중전화부스),1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 동구 신천3동 146-15,35.8683691,128.6232879,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
망우당공원 택시쉼터,1,6,DC차데모 + AC3상 + DC콤보,충전중,대구광역시 동구 효동로2길 93 ,35.8764164,128.6564477,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
원평치안센터(공중전화부스),1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 서구 평리3동 729-2,35.8793788,128.561858,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
만평네거리 북편 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 북구 팔달로 105 ,35.8900805,128.562145,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
대구교통연수원,1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 수성구 무학로 203 ,35.8302242,128.6304832,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
성서국민체육센터,1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 달서구 선원로 133 ,35.8598646,128.5068616,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
홀마트 앞 (공중전화부스) ,1,6,DC차데모 + AC3상 + DC콤보,충전가능,대구광역시 달성군 논공읍 논공로 749,35.7290522,128.445777,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
인천공항 정부합동청사,1,3,DC차데모 + AC3상,충전가능,"인천광역시 중구 공항로424번길 47, 정문 주차장",37.440993,126.461521,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
